test_name,library,max,mean,median,min,stddev,warmup,iterations,bsonRegExp
regex_singleFieldDocument._deserialize,bson@6.2.0,13.37787664226756,11.19199580501564,11.252737425892596,0.13996107442694547,1.9044458059973053,1000,1000,1
regex_singleFieldDocument._deserialize,bson@6.2.0,13.050565769882892,11.037669566003668,11.187840784593547,0.1418115972195074,1.8472701818703807,1000,1000,0
regex_singleFieldDocument._serialize,bson@6.2.0,15.748055938107285,12.885588997138443,12.381495061778221,0.1338229002606435,2.3366620725304483,1000,1000,-
regex_singleElementArray._deserialize,bson@6.2.0,11.709232496146875,9.72348131148595,10.050249201277955,0.491266430880708,1.6437025970874184,1000,1000,1
regex_singleElementArray._deserialize,bson@6.2.0,16.34885333585973,9.503837936140465,9.762058484361841,0.30398471167418395,2.013813077216623,1000,1000,0
regex_singleElementArray._serialize,bson@6.2.0,13.894254648347415,11.42619460732988,11.920545965497578,0.18095862777234195,2.2352904079566156,1000,1000,-
regex_array_100._deserialize,bson@6.2.0,36.37190008001097,35.34427024238716,35.86814547176968,14.10834014345694,1.936851012751821,1000,1000,1
regex_array_100._deserialize,bson@6.2.0,32.20804658821588,31.46345169504747,31.996631006907453,14.222017257572483,1.7721203852492096,1000,1000,0
regex_array_100._serialize,bson@6.2.0,71.43198027978114,69.10613078301569,70.1432519659848,17.841062540051706,3.6834551452601874,1000,1000,-
regex_array_10._deserialize,bson@6.2.0,33.690927748739924,30.039027400657208,31.12818863957508,2.053500012940102,2.940731850641595,1000,1000,1
regex_array_10._deserialize,bson@6.2.0,29.881045555573603,28.18040519205455,29.160021649187897,2.145640176585928,2.414021113606211,1000,1000,0
regex_array_10._serialize,bson@6.2.0,58.31718560150798,53.95737867896235,56.53479524737993,6.327188086450908,5.835238530477643,1000,1000,-
regex_array_1000._deserialize,bson@6.2.0,36.45851432683543,35.852442512626865,36.0970620371716,25.182304261999352,1.0609897109551272,1000,1000,1
regex_array_1000._deserialize,bson@6.2.0,32.360614228233935,31.89070100254332,32.06978142177826,26.130832182899674,0.7725907697837037,1000,1000,0
regex_array_1000._serialize,bson@6.2.0,73.39496967687245,71.98608140405453,72.24872307466188,54.89071074557754,1.9339124512834864,1000,1000,-
regex_singleFieldDocument._deserialize,bson@5.5.1,13.596745924110902,11.218953858430863,11.243840831029573,0.3516502877986819,1.926912008036845,1000,1000,1
regex_singleFieldDocument._deserialize,bson@5.5.1,13.00811475092072,10.951527167031047,11.055456072640839,0.13305834902421793,1.80933128653943,1000,1000,0
regex_singleFieldDocument._serialize,bson@5.5.1,15.928288024209698,12.503144041610069,12.11088333476045,0.6218966175516635,2.2380076209456545,1000,1000,-
regex_singleElementArray._deserialize,bson@5.5.1,11.720650595512431,9.679706380705538,10.059392857855354,0.29053580444553906,1.6885450128244028,1000,1000,1
regex_singleElementArray._deserialize,bson@5.5.1,16.510073833116927,9.59024401999986,9.876535509296355,0.07582866554499677,1.9605217757118585,1000,1000,0
regex_singleElementArray._serialize,bson@5.5.1,13.961622191400833,11.582649068050491,12.070421999280546,0.15351190602215092,2.231548861720659,1000,1000,-
regex_array_100._deserialize,bson@5.5.1,36.52393168736771,35.492008272554244,36.03143564194227,14.55325635957719,1.9475553737877012,1000,1000,1
regex_array_100._deserialize,bson@5.5.1,32.520015960097815,31.749606608619466,32.27618900670232,14.069486685912853,1.7699357473903339,1000,1000,0
regex_array_100._serialize,bson@5.5.1,70.00581980910529,67.44494543237379,68.58650736401083,17.399495042030853,3.64371245483694,1000,1000,-
regex_array_10._deserialize,bson@5.5.1,33.80045220685888,29.858134888139958,30.742558550120734,2.3246846015222284,3.046686064723674,1000,1000,1
regex_array_10._deserialize,bson@5.5.1,29.81605277886252,28.205210891156774,29.16918594595127,2.0348454049009295,2.3281223924124195,1000,1000,0
regex_array_10._serialize,bson@5.5.1,58.79489529078789,54.060403234146456,56.39730434491755,7.950424881411556,5.587241893537877,1000,1000,-
regex_array_1000._deserialize,bson@5.5.1,35.443505118816226,34.82901422320585,35.04667046957859,24.55874066501566,0.9932091284086905,1000,1000,1
regex_array_1000._deserialize,bson@5.5.1,32.290166704285966,31.825511990826975,31.995095444618983,26.10326934517512,0.7664974604379581,1000,1000,0
regex_array_1000._serialize,bson@5.5.1,74.18473814230315,72.81152960423545,73.04628709682203,55.55428888309124,1.9409338719579312,1000,1000,-
regex_singleFieldDocument._deserialize,bson@4.7.2,13.136304483199472,11.233070040333576,11.83871467240001,0.7157954332736917,1.780296680255399,1000,1000,1
regex_singleFieldDocument._deserialize,bson@4.7.2,13.36680182748447,11.452895719082582,12.15802236300536,1.1012646296235518,1.8382545109084958,1000,1000,0
regex_singleFieldDocument._serialize,bson@4.7.2,18.109845995564214,14.666636823582484,15.115779290344832,0.7802689988318584,2.516214529791727,1000,1000,-
regex_singleElementArray._deserialize,bson@4.7.2,17.98201071811361,9.816808825135217,10.350782028671627,0.2048585584054687,1.4816213059386085,1000,1000,1
regex_singleElementArray._deserialize,bson@4.7.2,11.532934428107696,10.140872876218777,10.65718150458327,0.2099829282334977,1.457286758421239,1000,1000,0
regex_singleElementArray._serialize,bson@4.7.2,12.528231489644156,11.43487727017805,12.018033478966538,0.8359165162704695,1.6506539069094737,1000,1000,-
regex_array_100._deserialize,bson@4.7.2,36.92176729346358,35.98258381102694,36.523928376005145,14.926004769598938,2.0465010514320934,1000,1000,1
regex_array_100._deserialize,bson@4.7.2,33.03942859954742,32.18313777717236,32.70676930331343,13.389003976674115,1.8157050069765128,1000,1000,0
regex_array_100._serialize,bson@4.7.2,75.97676922746155,68.64940634671271,69.16815785430624,17.205503486803483,3.6180852090120204,1000,1000,-
regex_array_10._deserialize,bson@4.7.2,34.26333645372585,32.10612297254367,33.169245225722435,2.213900122997354,2.647969826053914,1000,1000,1
regex_array_10._deserialize,bson@4.7.2,30.28323948417687,28.76377938233778,29.613264957183784,2.2104917089582754,2.1669163582871835,1000,1000,0
regex_array_10._serialize,bson@4.7.2,58.88095805093254,40.81751511662869,34.42370183046856,2.4266374529743793,10.682821856600173,1000,1000,-
regex_array_1000._deserialize,bson@4.7.2,37.6760299476756,37.03597106723785,37.27541717956752,26.02189645387495,1.0898271014476897,1000,1000,1
regex_array_1000._deserialize,bson@4.7.2,33.11016333708629,32.61501380590179,32.79491837339356,26.68070267386245,0.8031637020576847,1000,1000,0
regex_array_1000._serialize,bson@4.7.2,78.92251008613536,72.5578814947113,71.80145580938343,54.615744851765974,2.9182806008090814,1000,1000,-
regex_singleFieldDocument._deserialize,bson-ext@4.0.2,15.873070995114235,14.714498952649183,15.488857660100832,3.29982059902764,2.0646942078185515,1000,1000,1
regex_singleFieldDocument._deserialize,bson-ext@4.0.2,18.21275070180051,16.771434708662067,17.655145706416736,0.7831812052584955,2.4779326057405076,1000,1000,0
regex_singleFieldDocument._serialize,bson-ext@4.0.2,10.583794463364267,9.514877276604611,10.167600551616744,0.15366441054348384,1.4040334616846206,1000,1000,-
regex_singleElementArray._deserialize,bson-ext@4.0.2,15.90456352492742,14.322604516763622,15.424124010180636,3.2980615103607103,2.3138698023785103,1000,1000,1
regex_singleElementArray._deserialize,bson-ext@4.0.2,18.063216676137213,16.216273363882923,17.57811904917818,0.722304222840706,2.813931737414714,1000,1000,0
regex_singleElementArray._serialize,bson-ext@4.0.2,10.749457632548454,9.747319509663237,10.394089901562607,0.17551814123551765,1.3641637439372543,1000,1000,-
regex_array_100._deserialize,bson-ext@4.0.2,96.94144224727407,93.19846582887442,95.34397434991084,22.147204810065038,8.005781422082148,1000,1000,1
regex_array_100._deserialize,bson-ext@4.0.2,81.48500085802533,79.03341444794971,80.4007259453589,20.482741079798767,5.924488332901625,1000,1000,0
regex_array_100._serialize,bson-ext@4.0.2,30.783981367054807,29.65324571128465,29.94993288605159,12.964462246563452,1.2158468919943135,1000,1000,-
regex_array_10._deserialize,bson-ext@4.0.2,64.72736912214924,59.767116795595534,63.18095732004347,2.677227363413035,7.052099040189044,1000,1000,1
regex_array_10._deserialize,bson-ext@4.0.2,58.48693870141583,54.74477125239861,57.590402627226226,2.8996379123226412,5.921217762421924,1000,1000,0
regex_array_10._serialize,bson-ext@4.0.2,24.81483604538787,23.572631207789005,24.307167279191646,1.2460737107394964,1.929175847844632,1000,1000,-
regex_array_1000._deserialize,bson-ext@4.0.2,103.0896581914906,98.52248632614096,100.31311179399734,44.4685397101545,7.125714051934326,1000,1000,1
regex_array_1000._deserialize,bson-ext@4.0.2,90.2629029559832,82.72473268039242,82.6963934834644,54.78351787461676,4.4376430166267395,1000,1000,0
regex_array_1000._serialize,bson-ext@4.0.2,31.34302063244766,30.593879864153816,30.649403463212593,26.494529001457586,0.6034348189101784,1000,1000,-
